epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,1055.6,2.14815,0.98371,2.20786,0.93128,0.88673,0.93574,0.59397,2.55088,0.96565,2.48196,0.00104813,0.00104813,0.00104813
77,1069.53,2.1417,0.97547,2.19445,0.93072,0.87616,0.93177,0.59841,2.46597,0.97006,2.42534,0.00103987,0.00103987,0.00103987
78,1083.52,2.15412,0.99095,2.23137,0.899,0.83681,0.90444,0.57569,2.61973,1.08609,2.6296,0.00103162,0.00103162,0.00103162
79,1097.22,2.15959,0.99579,2.22912,0.96556,0.86066,0.93069,0.60191,2.4784,0.99901,2.48629,0.00102337,0.00102337,0.00102337
80,1111.03,2.16716,0.96749,2.23043,0.92957,0.89647,0.942,0.61666,2.47494,0.96923,2.45658,0.00101512,0.00101512,0.00101512
81,1124.98,2.15547,0.97509,2.2359,0.9487,0.88702,0.94063,0.61675,2.49196,0.98743,2.47331,0.00100687,0.00100687,0.00100687
82,1138.8,2.09204,0.94595,2.18805,0.94145,0.88612,0.93841,0.61182,2.52878,0.98568,2.47409,0.000998616,0.000998616,0.000998616
83,1152.61,2.11114,0.96399,2.16653,0.94603,0.88126,0.942,0.6139,2.53683,0.96691,2.44683,0.000990365,0.000990365,0.000990365
84,1167.95,2.13206,0.9657,2.18312,0.92177,0.88009,0.94064,0.61583,2.50748,0.96986,2.46111,0.000982113,0.000982113,0.000982113
85,1181.77,2.08882,0.94361,2.18554,0.9317,0.87608,0.94197,0.61308,2.53266,0.95609,2.49316,0.000973861,0.000973861,0.000973861
86,1195.66,2.0988,0.96083,2.18643,0.94231,0.88402,0.93983,0.61605,2.50508,0.9764,2.48632,0.00096561,0.00096561,0.00096561
87,1209.56,2.06966,0.93932,2.17972,0.9042,0.91207,0.93712,0.6046,2.54724,0.98447,2.57169,0.000957358,0.000957358,0.000957358
88,1223.51,2.07775,0.93438,2.18922,0.92418,0.88577,0.9356,0.62594,2.50534,0.99278,2.45496,0.000949106,0.000949106,0.000949106
89,1237.37,2.06139,0.91025,2.16437,0.90218,0.90636,0.93435,0.61765,2.47767,0.94257,2.45968,0.000940855,0.000940855,0.000940855
90,1251.25,2.0446,0.93013,2.15815,0.93375,0.88916,0.94301,0.61392,2.48736,0.94013,2.50719,0.000932603,0.000932603,0.000932603
91,1265.08,2.07258,0.93043,2.18841,0.96572,0.87224,0.95062,0.63366,2.5049,0.94234,2.45518,0.000924352,0.000924352,0.000924352
92,1278.83,2.06933,0.93745,2.18304,0.93422,0.89818,0.94064,0.59543,2.53945,0.97132,2.53553,0.0009161,0.0009161,0.0009161
93,1292.76,2.05427,0.91342,2.18376,0.92646,0.84915,0.93191,0.61274,2.49482,0.95544,2.49823,0.000907848,0.000907848,0.000907848
94,1306.54,2.04582,0.90714,2.17695,0.91705,0.88582,0.93594,0.62309,2.49158,0.96948,2.52331,0.000899597,0.000899597,0.000899597
95,1320.47,2.06845,0.93714,2.19288,0.93108,0.89847,0.93933,0.59662,2.59476,1.00138,2.62781,0.000891345,0.000891345,0.000891345
96,1334.29,2.06327,0.91385,2.18352,0.90659,0.89174,0.93685,0.62427,2.4957,0.94482,2.49001,0.000883093,0.000883093,0.000883093
97,1348.15,2.05184,0.91455,2.18655,0.93684,0.8809,0.94191,0.6165,2.50655,0.97599,2.46386,0.000874842,0.000874842,0.000874842
98,1362.04,2.02805,0.90996,2.16626,0.95089,0.89816,0.94403,0.62569,2.449,0.9305,2.48191,0.00086659,0.00086659,0.00086659
99,1375.82,2.04903,0.90595,2.17355,0.95556,0.87033,0.94259,0.62781,2.53635,0.93246,2.52184,0.000858338,0.000858338,0.000858338
100,1389.75,2.01218,0.88603,2.16229,0.93554,0.88269,0.93883,0.61616,2.49169,0.97236,2.5399,0.000850087,0.000850087,0.000850087
101,1403.63,2.01898,0.91209,2.1522,0.94177,0.87405,0.94543,0.62477,2.4974,0.93812,2.48125,0.000841835,0.000841835,0.000841835
102,1417.59,2.00417,0.90925,2.13714,0.90682,0.91852,0.94278,0.62237,2.53528,0.95145,2.5268,0.000833583,0.000833583,0.000833583
103,1431.47,2.03086,0.9098,2.15141,0.93444,0.86482,0.94166,0.6137,2.5606,0.98332,2.56621,0.000825332,0.000825332,0.000825332
104,1445.45,1.99539,0.88174,2.14332,0.93212,0.87995,0.94122,0.62083,2.54321,0.97232,2.53316,0.00081708,0.00081708,0.00081708
105,1459.23,1.98774,0.88551,2.14835,0.9347,0.8901,0.94122,0.62486,2.49252,0.96732,2.52953,0.000808828,0.000808828,0.000808828
